Date,AXISBANK.NS,BAJAJ-AUTO.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HEROMOTOCO.NS,INDUSINDBK.NS,ITC.NS,LT.NS,M&M.NS,NTPC.NS,POWERGRID.NS,TECHM.NS,ULTRACEMCO.NS,WIPRO.NS
2019-01-09,669.268798828125,2524.485595703125,2566.7578125,157.5292205810547,827.3765869140625,464.1839294433594,2732.922607421875,1593.32763671875,271.0066223144531,1349.450927734375,713.2498779296875,115.82647705078125,182.69142150878906,669.8738403320312,3807.4921875,245.06585693359375
2019-01-10,662.4273071289062,2551.0703125,2564.09521484375,158.70599365234375,812.4197998046875,462.9225158691406,2716.222412109375,1557.666259765625,270.2600402832031,1355.827880859375,720.0259399414062,117.05184936523438,180.88853454589844,670.694580078125,3808.439697265625,242.64549255371094
2019-01-11,665.6732788085938,2546.998291015625,2552.016357421875,156.26011657714844,806.5262451171875,465.0001220703125,2697.382568359375,1507.18310546875,275.62603759765625,1333.4351806640625,714.8211669921875,116.97218322753906,179.68663024902344,675.1848754882812,3760.562255859375,244.84237670898438
2019-01-14,658.3823852539062,2526.591796875,2542.796875,149.93771362304688,805.9815063476562,463.5903015136719,2667.3779296875,1476.24658203125,274.6461486816406,1298.677978515625,711.5313110351562,115.03644561767578,177.97621154785156,656.4994506835938,3766.946044921875,232.81304931640625
2019-01-15,659.7805786132812,2551.585205078125,2558.57373046875,149.77618408203125,807.764404296875,468.7841796875,2708.267578125,1487.337890625,276.7458801269531,1305.4931640625,713.839111328125,115.23371887207031,177.92996215820312,681.9927368164062,3817.865478515625,245.66175842285156
2019-01-16,663.1763916015625,2543.721923828125,2580.4140625,150.21461486816406,818.4619140625,464.1097106933594,2679.333251953125,1518.6722412109375,274.412841796875,1306.7100830078125,713.2007446289062,115.66809844970703,177.51393127441406,675.86083984375,3877.063720703125,250.690185546875
2019-01-17,675.8107299804688,2555.14208984375,2582.58349609375,153.3988800048828,820.244873046875,472.2467346191406,2701.4296875,1514.99169921875,274.319580078125,1310.5072021484375,721.4498291015625,114.52239990234375,179.27056884765625,681.3167724609375,3836.617431640625,249.83309936523438
2019-01-18,663.775634765625,2546.81103515625,2560.545654296875,148.66860961914062,817.124755859375,477.9847717285156,2696.9169921875,1508.923828125,271.98651123046875,1283.1004638671875,721.7444458007812,114.04818725585938,178.99322509765625,684.7931518554688,3810.18505859375,257.841064453125
2019-01-21,659.48095703125,2512.97216796875,2563.50390625,151.27601623535156,807.9130249023438,477.71270751953125,2599.693115234375,1499.6727294921875,270.5400085449219,1279.8388671875,717.1780395507812,113.33686065673828,176.8205108642578,689.3800048828125,3839.70947265625,251.6208038330078
2019-01-22,660.7793579101562,2516.482421875,2603.4384765625,153.62962341308594,796.7201538085938,465.3463439941406,2628.208984375,1493.7042236328125,270.4000244140625,1266.792724609375,695.7696533203125,112.86265563964844,175.387451171875,689.6697387695312,3850.631591796875,258.10125732421875
2019-01-23,660.7793579101562,2503.1435546875,2609.79833984375,154.2295684814453,774.7307739257812,467.17657470703125,2601.27490234375,1487.1390380859375,258.78143310546875,1267.084716796875,683.3469848632812,111.24274444580078,172.24400329589844,695.9464111328125,3840.806640625,261.8634033203125
2019-01-24,662.8268432617188,2482.128662109375,2631.195068359375,153.95266723632812,778.3461303710938,468.1658630371094,2595.92529296875,1482.4637451171875,260.27459716796875,1261.1458740234375,684.7709350585938,110.6888656616211,172.6600341796875,702.7543334960938,3781.010009765625,262.01239013671875
2019-01-25,668.9192504882812,2458.4462890625,2635.090087890625,154.55259704589844,752.3945922851562,479.5181884765625,2484.23388671875,1477.0921630859375,260.5545959472656,1251.5072021484375,671.2189331054688,109.3060531616211,171.82794189453125,704.0096435546875,3501.825439453125,263.2787170410156
2019-01-28,655.4859008789062,2401.532958984375,2588.105224609375,153.76809692382812,725.848876953125,483.6733093261719,2417.665771484375,1436.108642578125,256.4017639160156,1266.111083984375,660.9566650390625,109.54316711425781,173.63082885742188,709.900146484375,3365.823974609375,264.5450134277344
2019-01-29,659.930419921875,2403.498779296875,2629.22314453125,149.33779907226562,726.542236328125,488.94134521484375,2449.94970703125,1454.163330078125,259.85467529296875,1244.302734375,657.6177368164062,109.46443939208984,171.5968017578125,706.37548828125,3400.933837890625,268.4661560058594
2019-01-30,690.0929565429688,2339.892822265625,2628.187744140625,148.414794921875,718.1228637695312,503.75628662109375,2429.202392578125,1468.33837890625,257.1016845703125,1260.26953125,666.4560546875,109.62187957763672,172.98362731933594,690.055908203125,3433.40087890625,271.342529296875
2019-01-31,721.8035888671875,2391.236328125,2682.814453125,153.28350830078125,714.1607666015625,497.226806640625,2431.947021484375,1497.633544921875,260.0412902832031,1279.5955810546875,667.8308715820312,110.4128646850586,174.37045288085938,706.7617797851562,3510.353759765625,275.7865905761719
2019-02-01,716.3603515625,2436.354736328125,2752.28076171875,153.90652465820312,712.1302490234375,516.34521484375,2611.7880859375,1507.18310546875,262.0943908691406,1289.62353515625,676.0308837890625,110.7685317993164,175.8497314453125,720.9568481445312,3474.744873046875,277.5425109863281
2019-02-04,719.6063232421875,2473.5634765625,2697.01318359375,152.17593383789062,700.0459594726562,516.815185546875,2586.574951171875,1496.73828125,258.5948181152344,1272.877685546875,662.3314819335938,108.47618865966797,170.67225646972656,723.4193115234375,3438.687255859375,277.31842041015625
2019-02-05,728.5951538085938,2537.356689453125,2782.05908203125,153.26043701171875,697.2725219726562,519.2683715820312,2655.794677734375,1533.6431884765625,255.84181213378906,1270.1514892578125,672.59375,109.10877990722656,172.05908203125,725.2056884765625,3452.90087890625,275.22686767578125
2019-02-06,724.8497924804688,2593.052734375,2750.75244140625,156.8138885498047,726.542236328125,522.9605712890625,2679.519287109375,1518.0257568359375,259.1547546386719,1279.69287109375,682.6104125976562,111.24242401123047,172.70626831054688,783.48291015625,3501.376708984375,278.0275573730469
2019-02-07,729.244384765625,2671.16796875,2782.404296875,156.8831329345703,745.609619140625,526.7767944335938,2734.4111328125,1506.9840087890625,261.5810852050781,1261.827392578125,688.3062744140625,110.30964660644531,170.67225646972656,777.3510131835938,3561.4228515625,279.0733337402344
2019-02-08,718.5076904296875,2669.1083984375,2731.03173828125,155.2217559814453,711.1397094726562,529.52734375,2734.225341796875,1491.167724609375,257.1016845703125,1228.43310546875,669.8440551757812,107.14520263671875,167.3438720703125,777.8821411132812,3548.705322265625,278.4010314941406
2019-02-11,709.96826171875,2671.16796875,2578.836669921875,151.5529327392578,709.8521118164062,534.929443359375,2739.155517578125,1503.0548095703125,258.5948181152344,1213.5858154296875,635.9148559570312,105.76551055908203,168.59201049804688,781.5999145507812,3440.582275390625,278.6629943847656
2019-02-12,704.7247924804688,2651.276611328125,2615.4677734375,153.22299194335938,712.0311889648438,524.744873046875,2654.298828125,1489.327392578125,256.9150085449219,1213.926513671875,637.0442504882812,108.1188735961914,167.5749969482422,777.4959106445312,3443.52490234375,280.1191101074219
2019-02-14,694.137939453125,2642.61767578125,2630.01220703125,144.87265014648438,712.0807495117188,525.9838256835938,2632.16015625,1509.5206298828125,259.34136962890625,1195.184814453125,623.0011596679688,106.49575805664062,161.7503204345703,778.2201538085938,3485.966064453125,280.1938171386719
2019-02-15,685.7483520507812,2645.28564453125,2527.562744140625,149.4829864501953,700.0459594726562,523.9766235351562,2556.548095703125,1501.562744140625,261.39447021484375,1210.2755126953125,616.2742309570312,110.55307006835938,167.80615234375,772.184814453125,3430.65771484375,280.9407958984375
2019-02-18,692.4400634765625,2614.91015625,2529.73193359375,149.34185791015625,693.2113647460938,518.5497436523438,2544.3173828125,1509.0233154296875,256.3551025390625,1211.6385498046875,613.4754028320312,111.52674102783203,167.1127166748047,775.854248046875,3420.48388671875,280.56732177734375
2019-02-19,692.1903686523438,2609.621337890625,2501.481689453125,150.65907287597656,711.535888671875,514.9566650390625,2500.04052734375,1472.7152099609375,257.4749450683594,1225.07421875,621.2334594726562,108.4840087890625,165.9108123779297,763.8319091796875,3458.736083984375,271.491943359375
2019-02-20,699.4812622070312,2597.31201171875,2489.895751953125,155.10476684570312,723.768798828125,524.3235473632812,2487.619873046875,1473.013671875,257.42828369140625,1242.8424072265625,622.1663818359375,111.3232421875,168.08351135253906,784.4968872070312,3564.215576171875,278.0275573730469
2019-02-21,696.335205078125,2634.052734375,2550.192138671875,156.04563903808594,740.70654296875,522.068603515625,2504.212158203125,1463.8123779296875,256.68170166015625,1250.19287109375,622.8047485351562,110.7146987915039,168.08351135253906,792.4635620117188,3621.967529296875,279.7834777832031
2019-02-22,701.17919921875,2636.767333984375,2602.649658203125,153.90513610839844,751.503173828125,528.3875122070312,2540.8095703125,1455.1083984375,255.98179626464844,1246.5418701171875,634.9818725585938,113.35237884521484,168.17596435546875,797.6297607421875,3616.431640625,282.9207763671875
2019-02-25,702.8271484375,2665.5048828125,2629.6669921875,154.21090698242188,771.2639770507812,536.36669921875,2571.76513671875,1483.35888671875,258.2215576171875,1242.1607666015625,639.00830078125,113.87914276123047,168.22218322753906,802.1200561523438,3707.099365234375,287.8877258300781
