Date,ASIANPAINT.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,HDFC.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,IOC.NS,JSWSTEEL.NS,KOTAKBANK.NS,MARUTI.NS,NESTLEIND.NS,RELIANCE.NS,SHREECEM.NS,TCS.NS,TITAN.NS,UPL.NS
2016-08-24,1091.4273681640625,316.12860107421875,308.151123046875,1658.7086181640625,1301.74755859375,617.5368041992188,869.1326293945312,217.7069091796875,459.3114318847656,101.30084228515625,161.76414489746094,775.6995239257812,4714.8251953125,6386.8447265625,498.8748779296875,16783.298828125,1175.939453125,396.8052978515625,417.4501953125
2016-08-25,1078.7950439453125,310.2113037109375,316.89111328125,1673.861083984375,1277.8843994140625,615.9462280273438,861.0028076171875,216.3921661376953,450.0809020996094,102.36888122558594,160.45416259765625,779.4431762695312,4700.677734375,6397.75732421875,495.06182861328125,16817.22265625,1166.33837890625,387.9197692871094,409.70611572265625
2016-08-26,1095.7684326171875,308.3725891113281,315.5673828125,1661.008544921875,1286.2154541015625,615.2365112304688,855.0473022460938,214.9463348388672,443.17425537109375,102.98802947998047,161.43319702148438,779.4931640625,4688.48193359375,6399.0693359375,502.49237060546875,16867.125,1154.396484375,398.376220703125,411.3585510253906
2016-08-29,1084.598876953125,307.16278076171875,317.1827392578125,1645.865966796875,1294.8287353515625,605.937744140625,855.7090454101562,219.50262451171875,444.28192138671875,102.66553497314453,163.0052032470703,780.0921020507812,4694.6748046875,6324.27099609375,516.93798828125,16700.5625,1143.25048828125,395.8725891113281,412.8817138671875
2016-08-30,1118.1070556640625,297.52410888671875,322.1883544921875,1663.6658935546875,1310.4552001953125,620.8892211914062,874.2373657226562,224.5417938232422,451.9269714355469,102.98802947998047,163.74063110351562,784.8341674804688,4828.30078125,6264.4599609375,521.3132934570312,16822.6484375,1163.1748046875,400.192626953125,413.9178771972656
2016-08-31,1129.520263671875,297.345458984375,319.19537353515625,1672.053955078125,1323.022216796875,631.9254150390625,866.9111328125,226.07440185546875,449.9505615234375,103.32058715820312,161.16200256347656,805.5494384765625,4848.4482421875,6112.70849609375,518.1846313476562,16937.2421875,1148.1605224609375,410.89453125,414.0481262207031
2016-09-01,1128.593505859375,278.697021484375,310.8263854980469,1647.3154296875,1341.1904296875,628.2548217773438,875.1827392578125,228.65953063964844,450.68902587890625,103.36582946777344,162.96841430664062,809.3430786132812,4855.25927734375,6078.1435546875,503.1278991699219,17013.572265625,1146.423095703125,405.9853820800781,406.4012756347656
2016-09-02,1138.9339599609375,285.9140625,310.8001708984375,1621.02099609375,1354.7457275390625,628.9400024414062,870.408935546875,228.96604919433594,448.2130432128906,109.43435668945312,163.3959197998047,812.2381591796875,4950.912109375,6032.2431640625,495.37957763671875,16992.859375,1149.760498046875,410.74725341796875,411.6180725097656
2016-09-06,1174.63671875,288.244873046875,317.0770263671875,1670.382080078125,1372.537353515625,636.427978515625,886.5738525390625,238.95574951171875,453.9250793457031,109.38627624511719,171.2237091064453,816.6807250976562,5103.69580078125,6149.80322265625,498.58154296875,17737.318359375,1135.7060546875,429.5001525878906,419.8802795410156
2016-09-07,1148.3470458984375,287.0350036621094,312.4154357910156,1685.766357421875,1343.44970703125,629.74755859375,881.9890747070312,243.7318115234375,457.9866027832031,108.30765533447266,170.21246337890625,802.7540893554688,5119.380859375,6052.9921875,497.48162841796875,17478.451171875,1115.8182373046875,417.5709228515625,428.2395935058594
2016-09-08,1153.61474609375,290.84515380859375,311.03851318359375,1677.629638671875,1353.4749755859375,631.0444946289062,899.52490234375,242.1539306640625,450.7324523925781,107.60159301757812,169.95968627929688,818.3778686523438,5266.50439453125,6024.8896484375,505.18109130859375,17446.5,1061.6588134765625,424.9837646484375,427.267578125
2016-09-09,1143.0308837890625,288.7828674316406,311.7536315917969,1669.3963623046875,1327.91748046875,631.533935546875,879.1058959960938,240.1827850341797,449.7985534667969,107.56417083740234,167.6614227294922,817.4794311523438,5183.61279296875,6096.17529296875,510.6318359375,17103.01953125,1075.530029296875,416.2454833984375,428.01214599609375
2016-09-12,1126.30126953125,285.1524353027344,299.7559509277344,1656.2926025390625,1316.99755859375,626.39501953125,868.234619140625,235.01246643066406,457.8345031738281,105.5222396850586,160.42196655273438,811.938720703125,5112.61767578125,6024.32958984375,511.5849914550781,16676.892578125,1078.5565185546875,403.8253479003906,420.62481689453125
2016-09-14,1135.08056640625,286.7655334472656,304.7615966796875,1710.3887939453125,1310.54931640625,621.2807006835938,858.7813110351562,237.86077880859375,454.18572998046875,107.93592834472656,160.90921020507812,804.60107421875,5146.10009765625,5943.06640625,510.72955322265625,16632.908203125,1064.557373046875,407.01629638671875,451.21136474609375
2016-09-15,1144.78662109375,289.3209228515625,300.9477844238281,1706.378662109375,1327.3524169921875,626.248291015625,864.0278930664062,237.11569213867188,452.70880126953125,106.63824462890625,161.2217559814453,807.2465209960938,5231.0068359375,5902.73974609375,520.6288452148438,16448.98828125,1063.8712158203125,399.0144348144531,443.726806640625
2016-09-16,1126.8377685546875,290.12841796875,306.1385192871094,1679.272705078125,1315.397216796875,635.1799926757812,861.8536987304688,234.2674102783203,460.50592041015625,108.81375885009766,158.6293487548828,805.2498779296875,5346.99755859375,6001.6591796875,525.7861938476562,16489.81640625,1079.7637939453125,400.192626953125,448.943603515625
2016-09-19,1135.08056640625,290.62158203125,309.97857666015625,1648.397705078125,1311.1141357421875,631.4114990234375,862.0899658203125,237.9918670654297,460.9620361328125,108.99543762207031,162.7064208984375,801.5061645507812,5268.90283203125,5936.5087890625,529.1348266601562,16475.22265625,1102.504638671875,395.5289306640625,442.1064147949219
2016-09-20,1136.4951171875,286.1835632324219,310.2701721191406,1647.8662109375,1311.3966064453125,630.57958984375,853.5347900390625,238.430419921875,456.1622314453125,108.87100982666016,161.9663848876953,791.423095703125,5290.921875,5938.8505859375,525.1262817382812,16577.685546875,1100.246337890625,395.5289306640625,440.5191650390625
2016-09-21,1141.9090576171875,288.5592956542969,310.8263854980469,1641.874755859375,1310.6904296875,632.8063354492188,863.1297607421875,236.50267028808594,458.5947265625,109.11910247802734,161.17578125,787.0804443359375,5277.87353515625,5913.65234375,524.1730346679688,16454.513671875,1103.4007568359375,399.0635070800781,443.37005615234375
2016-09-22,1162.7845458984375,293.1759338378906,317.1827392578125,1643.2470703125,1330.36474609375,639.609130859375,860.3883666992188,241.40982055664062,459.9195556640625,110.55036163330078,162.0445098876953,793.8191528320312,5369.83154296875,6042.22021484375,532.3369140625,16810.322265625,1087.2158203125,406.8690185546875,443.4031066894531
2016-09-23,1162.00390625,293.1310729980469,320.2814636230469,1652.9879150390625,1341.52001953125,642.4476928710938,860.7664794921875,237.6853485107422,452.8609313964844,111.31369018554688,161.45620727539062,794.8173828125,5374.3408203125,6083.71728515625,539.1075439453125,16726.203125,1096.4058837890625,401.56719970703125,448.68408203125
2016-09-26,1154.005126953125,287.2137451171875,329.7103271484375,1651.0357666015625,1329.6116943359375,634.3479614257812,843.7978515625,230.06198120117188,449.97222900390625,113.01212310791016,161.525146484375,786.4314575195312,5342.7763671875,6092.75732421875,541.2584228515625,16778.96484375,1097.77734375,397.3943786621094,442.04229736328125
2016-09-27,1163.321044921875,282.2386474609375,323.5128479003906,1657.8873291015625,1335.68359375,635.27783203125,848.2408447265625,227.82769775390625,451.6446838378906,111.76251220703125,161.82850646972656,783.136962890625,5287.6103515625,6077.76953125,542.8716430664062,16568.21875,1113.7791748046875,397.9835205078125,443.0463562011719
2016-09-28,1164.2476806640625,288.46942138671875,326.45269775390625,1644.822021484375,1340.0606689453125,633.9075317382812,838.6459350585938,228.4840850830078,451.2971496582031,112.9266357421875,163.24420166015625,780.9905395507812,5297.58837890625,6044.32763671875,533.16796875,16591.4921875,1107.8172607421875,402.25445556640625,442.59246826171875
2016-09-29,1138.7384033203125,283.0451965332031,323.1950378417969,1587.498291015625,1319.2098388671875,625.2205200195312,830.2797241210938,219.37155151367188,447.06195068359375,109.44351196289062,154.29025268554688,771.3068237304688,5217.76708984375,5951.26318359375,524.270751953125,16753.912109375,1114.5565185546875,386.0052185058594,421.40240478515625
2016-09-30,1132.2515869140625,281.52099609375,324.4925842285156,1625.3985595703125,1311.725830078125,622.9447631835938,820.4010620117188,220.9484405517578,450.0374450683594,111.16101837158203,158.9786834716797,775.6995239257812,5254.8955078125,6025.87353515625,529.7703857421875,16806.96875,1111.356201171875,387.9197692871094,436.6631164550781
2016-10-03,1163.7598876953125,285.734375,332.5174560546875,1684.1331787109375,1341.8963623046875,629.9677734375,821.2518920898438,224.45411682128906,450.9278869628906,115.20670318603516,162.47657775878906,786.73095703125,5450.32470703125,6202.962890625,533.1923828125,17645.412109375,1102.62353515625,399.2108154296875,440.7786865234375
2016-10-04,1163.321044921875,290.48681640625,337.6557922363281,1679.2049560546875,1348.3917236328125,631.1178588867188,813.3584594726562,226.2498321533203,455.74945068359375,116.91506958007812,163.9658660888672,790.3748779296875,5449.365234375,6258.27783203125,535.954345703125,17470.166015625,1099.6240234375,399.1616516113281,438.38067626953125
2016-10-05,1179.1240234375,288.4245300292969,344.25054931640625,1672.024658203125,1339.6842041015625,629.429443359375,823.3316650390625,223.84010314941406,452.40478515625,117.87838745117188,164.3427734375,780.8408813476562,5458.1923828125,6346.892578125,532.556884765625,17521.83984375,1091.038330078125,398.52349853515625,440.907958984375
2016-10-06,1179.85546875,288.9625549316406,355.2676696777344,1675.1656494140625,1342.366943359375,627.3983154296875,836.0935668945312,220.15997314453125,446.2800598144531,124.08050537109375,162.03074645996094,781.6893920898438,5478.57861328125,6298.18310546875,543.0183715820312,17316.71875,1092.1353759765625,391.60162353515625,435.14093017578125
2016-10-07,1155.5657958984375,286.40716552734375,351.48089599609375,1636.33740234375,1321.3746337890625,626.7376708984375,829.2871704101562,219.59034729003906,439.8294982910156,122.3057632446289,162.90870666503906,781.3400268554688,5453.0107421875,6302.21044921875,542.138427734375,17393.740234375,1082.5523681640625,388.1161193847656,435.5938720703125
2016-10-10,1182.9285888671875,283.2248840332031,348.4345703125,1631.583251953125,1309.843017578125,628.572998046875,828.2473754882812,219.1527099609375,447.3877258300781,121.02716827392578,166.82945251464844,778.8941650390625,5480.40185546875,6212.986328125,535.954345703125,17352.318359375,1088.267333984375,396.36346435546875,434.75213623046875
2016-10-13,1186.78173828125,275.0206604003906,348.06439208984375,1606.7672119140625,1260.37548828125,618.001708984375,814.918212890625,211.30960083007812,457.1177673339844,119.58673858642578,162.9270477294922,771.0571899414062,5486.349609375,6128.9619140625,516.7913208007812,17242.55859375,1064.767333984375,381.1451721191406,433.7470703125
2016-10-14,1176.1976318359375,273.8108215332031,353.2288818359375,1609.337890625,1238.865478515625,617.5368041992188,796.2007446289062,211.83587646484375,446.1714782714844,122.70648956298828,160.1875457763672,780.4415283203125,5459.390625,6442.15869140625,526.8128051757812,16877.96875,1081.82080078125,378.248779296875,442.81988525390625
2016-10-17,1153.3223876953125,270.1344909667969,349.1234436035156,1597.567626953125,1225.59228515625,605.741943359375,802.8180541992188,226.73175048828125,444.10821533203125,122.57292938232422,158.09613037109375,767.96240234375,5371.75048828125,6330.546875,518.5023193359375,17213.369140625,1080.101806640625,379.0833435058594,445.0876159667969
2016-10-18,1145.7135009765625,274.93084716796875,347.87841796875,1577.37109375,1275.7662353515625,615.6035766601562,808.8207397460938,236.89688110351562,451.3406066894531,122.7828369140625,163.87391662597656,775.6495971679688,5398.2294921875,6439.02001953125,528.4993896484375,17338.515625,1097.3653564453125,383.0106201171875,448.8133850097656
2016-10-19,1140.640869140625,275.2003173828125,349.91796875,1602.6409912109375,1263.4349365234375,615.8482666015625,799.7457275390625,232.25286865234375,452.53509521484375,124.6339340209961,160.77589416503906,772.7045288085938,5377.02685546875,6362.81787109375,531.5547485351562,17047.984375,1095.0340576171875,381.3415222167969,460.2511291503906
2016-10-20,1137.177734375,277.12786865234375,350.7388000488281,1600.82421875,1280.1907958984375,614.4534912109375,794.357421875,243.24984741210938,450.298095703125,122.63016510009766,160.03587341308594,771.0571899414062,5415.30712890625,6409.88818359375,531.6525268554688,17100.845703125,1097.7955322265625,382.51971435546875,463.29644775390625
2016-10-21,1125.2281494140625,277.7108459472656,353.9701843261719,1599.6453857421875,1258.1632080078125,621.8924560546875,804.6614379882812,243.07443237304688,460.7938537597656,123.77517700195312,159.52566528320312,780.19189453125,5420.775390625,6434.5234375,520.2376708984375,16993.455078125,1110.3682861328125,372.5050964355469,465.5000305175781
2016-10-24,1099.865234375,274.93084716796875,363.47857666015625,1598.2923583984375,1265.176025390625,618.393310546875,801.9672241210938,249.33969116210938,455.8233337402344,124.9011001586914,157.35610961914062,786.0321044921875,5481.88916015625,6419.77099609375,519.7977905273438,17020.966796875,1115.912109375,370.6886901855469,467.5091857910156
2016-10-25,1111.815185546875,279.5484924316406,363.0812683105469,1592.233642578125,1261.5050048828125,611.9085693359375,786.842041015625,253.4583282470703,451.4298095703125,124.76753997802734,157.1446990966797,785.2335205078125,5546.6962890625,6364.12890625,518.60009765625,16998.9765625,1102.4622802734375,366.51593017578125,461.96868896484375
2016-10-26,1095.5731201171875,284.8379821777344,358.1018371582031,1577.9508056640625,1256.3746337890625,606.5250854492188,796.7679443359375,243.95059204101562,450.0983581542969,122.70648956298828,153.36175537109375,810.1417236328125,5630.78662109375,6393.58935546875,515.2759399414062,16613.580078125,1101.450927734375,368.72503662109375,453.05816650390625
2016-10-27,1058.8460693359375,289.6792907714844,358.3934326171875,1552.00439453125,1297.6998291015625,612.7894287109375,794.357421875,249.120849609375,445.34979248046875,119.44324493408203,150.48435974121094,805.2498779296875,5622.2001953125,6498.08203125,512.6605224609375,16487.84375,1111.4993896484375,362.490478515625,457.8210754394531
2016-10-28,1043.67724609375,285.869140625,354.3937072753906,1600.244384765625,1310.0787353515625,616.19091796875,790.7651977539062,242.5924835205078,442.6869812011719,123.46984100341797,152.4976348876953,817.9786376953125,5637.55078125,6543.79443359375,515.7158813476562,16487.943359375,1102.58203125,366.7613830566406,452.1833801269531
2016-11-01,1052.91845703125,284.6144104003906,358.15509033203125,1609.2410888671875,1334.0830078125,616.5579833984375,796.2466430664062,241.27772521972656,439.11444091796875,124.09960174560547,152.86993408203125,804.20166015625,5639.42138671875,6364.50390625,513.7848510742188,16582.61328125,1080.1964111328125,365.9268798828125,457.65875244140625
