Date,BAJFINANCE.NS,BAJAJFINSV.NS
2015-08-21,511.05401611328125,1873.0235595703125
2015-08-24,465.77069091796875,1710.156494140625
2015-08-25,470.0499572753906,1703.7235107421875
2015-08-26,474.9938049316406,1709.458251953125
2015-08-27,487.6832275390625,1740.027099609375
2015-08-28,483.145751953125,1810.240478515625
2015-08-31,480.1527404785156,1805.00439453125
2015-09-01,471.91461181640625,1767.903076171875
2015-09-02,480.2244873046875,1780.51953125
2015-09-03,497.4607849121094,1845.2972412109375
2015-09-04,485.3547668457031,1823.904296875
2015-09-07,481.8596496582031,1745.861572265625
2015-09-08,479.2347106933594,1745.3629150390625
2015-09-09,482.9019470214844,1806.350830078125
2015-09-10,483.3561706542969,1800.4664306640625
2015-09-11,481.6492614746094,1785.506103515625
2015-09-14,492.3592529296875,1876.5643310546875
