Date,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SHREECEM.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS,ZEEL.NS
2015-03-31 00:00:00,299.8342285,780.6574097,544.5495605,1735.414795,379.3389587,1409.398315,348.9821167,178.9662628,1017.033936,696.234314,255.947464,3318.997559,15349.18945,83.73512268,514.9872437,419.2766113,748.0401001,485.0232544,2229.422119,124.3667221,801.5603638,265.2999268,859.9706421,421.844635,58.22982407,185.0401459,69.05833435,654.1925049,1024.276855,555.5262451,3501.747803,6382.276367,104.0771942,158.445816,124.9382095,386.409729,10599.0332,257.9688721,995.6362915,1099.503296,544.140625,269.0126648,567.182373,379.5050964,2839.552734,278.8180237,136.1213684,216.6971283,329.4930115
2015-04-01 00:00:00,302.5095825,790.6647339,553.7354736,1738.168579,382.2565918,1422.350952,356.9673462,177.5094299,1025.986084,693.4491577,256.0179749,3361.713379,15456.5791,83.08717346,525.1812744,402.3627625,748.0401001,490.0267029,2242.976318,127.4517822,810.6904297,271.7331238,898.0675049,413.4006042,58.53783035,188.7880707,69.29447937,678.0040283,1032.979126,562.2141724,3451.882813,6360.044922,104.715065,158.4978027,125.9703674,391.1112061,10681.90918,264.1512451,1051.30603,1094.638062,558.678772,274.8728638,569.8845825,378.3421631,2845.275635,277.9033813,136.5883026,218.1958618,328.6252136
2015-04-06 00:00:00,312.5299988,793.3590088,553.1522217,1752.453979,391.5636292,1421.404297,355.6366577,177.0459137,1044.427246,718.906189,254.4310913,3498.896973,15227.90625,86.34770203,525.7565918,398.5993958,748.0401001,489.4101257,2257.207275,129.8619843,833.1254272,270.1347656,888.0700684,414.2092285,59.07487488,193.6433716,68.62031555,696.2112427,1047.059692,581.1791992,3436.966064,6542.123535,107.7980347,164.0836182,127.2606201,385.7782288,10669.44043,265.3104248,1137.022705,1096.644653,567.9200439,270.1599121,579.4771729,391.1344604,2854.007813,283.9570923,137.5579987,214.0433197,326.0703125
2015-04-07 00:00:00,315.1081238,803.6547852,542.2651978,1802.49585,400.8290405,1425.987671,359.1417236,175.6327972,1064.404785,711.6258545,253.6200104,3505.556152,15421.64941,86.40143585,535.4532471,399.6685486,748.0401001,489.7895813,2223.129395,132.0311737,838.1721802,266.8973694,880.3051147,410.6532288,58.79056168,193.4167786,71.42362213,690.8562012,1054.091064,593.4327393,3409.452393,6575.287109,110.774704,164.9889832,127.2606201,389.6141968,10757.32422,262.7988586,1120.248901,1112.874878,560.1231079,283.2388611,588.0339966,394.0418701,2892.784424,298.4292603,142.0475006,211.9417572,324.3348389
2015-04-08 00:00:00,310.4869995,814.8648682,540.3696289,1806.755493,414.4941406,1450.298828,371.918335,180.9196777,1064.244507,719.932373,268.2546387,3572.720947,15944.12305,88.61480713,540.2794189,410.0606689,748.0401001,491.1174927,2200.707275,132.9952698,837.3463745,264.9641724,875.4520874,418.4596863,59.57242584,196.6246796,70.99703217,683.2593994,1059.898682,595.9348755,3436.729248,6473.085938,110.6326752,161.8857574,126.7015457,405.0753479,10593.63281,264.585968,1118.692871,1137.15564,561.2727051,285.4469299,605.5529785,394.8655396,2946.656494,291.492981,139.0664825,212.3727264,328.1913757
2015-04-09 00:00:00,308.1035767,820.9268188,556.1656494,1805.938232,415.9206543,1459.315918,361.3151245,179.1980133,1073.262451,703.0749512,272.9095154,3558.260498,15729.63281,85.76499176,535.7514648,412.32724,748.0401001,500.8634644,2205.605713,134.8752136,850.100769,269.5890503,916.1696167,421.2071228,59.23283386,197.135788,72.57390594,712.6501465,1054.74353,596.0986328,3465.615723,6523.428711,111.5188828,160.4117279,129.8841095,418.7352905,10891.75586,271.2996216,1082.714355,1147.126465,559.6733398,293.8976135,603.8416748,387.5971985,2924.456299,286.4476013,139.8207092,212.6649323,344.29245
2015-04-10 00:00:00,311.1193848,826.9889526,552.1801758,1806.110107,417.5317993,1449.551392,365.5304871,181.0077667,1073.262451,685.1914673,274.3553772,3612.629639,15659.87305,86.18570709,539.2056885,413.6529236,748.0401001,494.4846802,2182.169434,132.947052,856.8451538,267.6549377,917.4799194,424.8103027,59.24072266,196.8521271,72.51295471,708.5653687,1050.696045,601.8044434,3472.624268,6521.132324,110.3137283,160.2045593,131.3463898,423.0625305,10608.26465,276.032959,1088.840454,1142.476807,562.4222412,291.0521851,594.6542969,388.1786804,2929.488525,292.2175903,145.3517609,212.8551636,334.6993103
2015-04-13 00:00:00,321.8208313,829.4907227,550.1875,1803.141235,411.2210083,1433.161499,377.7311707,180.6435699,1088.481079,696.1854248,276.7180481,3610.679443,15505.97754,85.34351349,537.4712524,417.4164124,748.0401001,492.658844,2179.509033,131.211731,870.9301758,266.477417,921.8476563,425.7330322,59.54084015,199.6059875,71.78166199,720.1223145,1074.220459,583.5878296,3471.29834,6521.178223,111.483139,161.290741,132.765686,431.5532532,10249.35938,276.56427,1119.179199,1143.226074,556.0247803,293.1755676,598.437439,402.0370178,2961.456787,299.3439331,144.0588226,215.0945435,334.3136292
2015-04-15 00:00:00,316.9078674,807.359314,534.8288574,1785.671631,411.428772,1416.522217,368.3697815,177.1121368,1104.670288,677.1292114,272.2042236,3570.960938,15314.9375,85.25753021,540.8979492,403.9237976,748.0401001,489.2679138,2132.087891,130.2958221,857.6709595,264.8799744,918.7416992,420.9599609,58.90903091,201.5651398,70.74945831,719.2755737,1064.786011,565.3945313,3485.552002,6493.479492,109.3926773,164.0316162,130.3572235,432.0912476,10343.62793,280.1384277,1086.45813,1131.283447,540.2312012,286.7635498,594.3391113,398.6451416,2946.706299,290.6095276,148.1531982,209.0471802,331.4212036
2015-04-16 00:00:00,318.610321,791.1939087,535.4120483,1796.902222,423.3348694,1429.375244,370.8988342,176.7810364,1097.404785,663.3989868,270.5820923,3501.227539,15280.68262,85.56999207,530.2919312,408.0934143,748.0401001,488.3193665,2052.320801,132.223999,856.2028809,262.7774963,906.9971313,417.3370056,57.47953796,198.811264,71.72834778,706.5726929,1044.915649,574.5612793,3483.32666,6455.26416,110.6326752,169.4623108,129.6260529,434.289917,10262.90918,282.4568176,1057.918213,1111.927612,541.0308838,286.8054504,590.9163818,393.7026672,2856.474609,284.9975281,146.6088409,207.4271393,327.9503784
2015-04-17 00:00:00,313.9892883,785.9497681,518.789856,1777.324219,418.2104797,1416.970581,360.205719,176.1076355,1083.175781,664.9137573,268.289917,3469.69043,14773.06934,83.96160126,518.5204468,402.0420227,748.0401001,482.9127808,2035.768188,134.7306213,860.3778687,260.7592468,850.2644043,414.4084778,56.76874161,199.8053284,72.84432983,690.7067261,1036.248901,572.6906128,3453.871582,6431.425781,111.9798355,170.6779938,129.1099854,433.5881958,9857.952148,281.828949,1009.104004,1065.45813,535.1332397,293.8548279,577.4055786,382.8485718,2771.719238,270.4620361,151.7447968,202.2242432,324.4794617
